full_word,abbreviation
Subscribable,SUBSC
Subscribe,SUBSC
Subscribed,SUBSCD
subscriber,sub
Subscript,SUBSCT
subscription,sub
Subsection,SUBSECT
Subsequence,SUBSEQ
Subsequent,SUBSEQ
Subsidiary,SUBSID
Substantiate,SUBSTNT
Substantiated,SUBSTNTD
Substitute,SUB
Substituted,SUB
Substitution,SUB
Subsystem,SUBSYS
Subtotal,SUBTOT
Subtract,SUBTR
Subtype,SUBTYP
Subunit,SUBUNIT
Succeed,SUCCEED
Success,SUCCESS
Successful,SUCCSSFL
Successive,SUCCSSV
Sufficient,SFCNT
Suffix,SFX
Suggest,SUGG
Suggestion,SUGG
Suite,STE
Sum,SUM
Summarize,SUMZ
Summary,SUM
Summer,SUMMER
Sunday,SUN
Sundry,SUNDRY
Super,SUPER
Supervise,SUPRVS
Supervisor,SUPRVSR
Supervisory,SUPRVSRY
Supple,SUPPL
Supplement,SUPPLMT
Supplemental,SUPPLMT
Supplementary,SUPPLMT
Supplier,SUP
Supply,SPLY
Support,SUPP
Suppress,SUPPRESS
Suppression,SUPPRESS
Surcharge,SURCHRG
Surname,SURNM
Surveillance,SURVLNC
Survey,SURV
Survivability,SURVIV
Survive,SURVIV
Survivor,SURVIVR
Suspect,SUSPCT
Suspected,SUSPCTD
Suspend,SUSPND
Suspendable,SUSPND
Suspended,SUSPND
Suspense,SUSPNS
Suspension,SUSPNSN
Swap,SWAP
Switch,SWIT
Switch Unit,SWU
Switchboard,SWBD
Switched,SWIT
Switcher,SWIT
Switching,SWIT
Switching Unit,SWU
Symbol,SYMBL
Symbolic,SYMBLC
Sync,SYNC
Synchronize,SYNC
Syncsort,SYNCSORT
Synonym,SYNYM
Syntax,SYNTX
Synthetic,SYNTHTC
systemcheck,syschk
System,SYS
Table,TBL
Tablespace,TBLSPC
Tabulate,TAB
Tact,TACT
Tag,TAG
Tail,TAIL
Take,TAKE
Taken,TAKEN
Takeover,TAKEOVR
Tally,TALLY
Tandem,TDM
Tangible,TNGBL
Tap,TAP
Tape,TP
Taper,TPR
Tapered,TPRD
Target,TGT
Target Data Area,TDA
Tariff,TARIFF
Task,TSK
Tax,TAX
Taxable,TXBL
Taxation,TAXN
Team,TEAM
Technical,TECH
Technique,TECH
Technological,TECH
Technologize,TECH
Technology,TECH
Telecommunicate,TELECOM
Telecommunication,TELECOM
Telecommunications Company,TELCO
Telegram,TELGRM
Telegraph,TELGRPH
Telemarketing,TMKTG
Telephone,TEL
Telephone Company,TELCO
Telephone Number,TN
Teletypewriter,TTY
Television,TV
Telex,TELEX
Teller,TELLER
Temp,TMP
Temperature,TMPRTR
Template,TMPLT
Temporary,TEMP
Term,TERM
Terminal,TRML
Terminate,TERM
Terminating,TERM
Termination,TERM
Terminator,TERMR
Territorial,TERR
Territory,TERR
Test,TST
Text,TXT
Theory,THEORY
Third,3RD
Threshold,THRSHLD
Through,THRU
Throughput,THRUPUT
Thru,THRU
Thruput,THRUPUT
Thursday,THURS
Ticket,TCKT
Tickler,TCKLR
Tier,TIER
Time,TM
Time of day,TOD
Time stamp,TS
Timeout,TMOUT
Timer,TIMER
Timestamp,TS
Timezone,TM_ZN
Timing,TIMING
Title,TITL
Today,TODAY
Tolerance,TOLR
Tolerant,TOL
Tolerate,TOLR
Toll,TOLL
Tone,TONE
Top,TOP
Topic,TOPIC
Topographic,TPGRPHC
Topographical,TPGRPHCL
Topography,TPGRPHY
Toronto,TOR
tokenize,tokn
Total,TOT
Touch,TCH
Touchtone,TCHTONE
Tour,TOUR
Tower,TWR
Town,TWN
Township,TWNSHP
Trace,TRC
Tracer,TRCR
Track,TRK
Tracking,TRKG
Trade,TRD
Traffic,TRAF
Trail,TRAIL
Trailer,TRAILR
Trailing,TRAILG
Train,TRAIN
Trainee,TRNEE
Training,TRNG
Transact,TRNSACT
Transaction,Trans
transcript,tx
Transfer,XFR
Transferred,XFRD
Transform,TRNSFRM
Transit,TRNSIT
Transition,TRNSITN
Translate,TRNSLT
Translation,TRNSLTN
Transmission,XMSN
Transmit,XMIT
Transmittal,XMITL
Transmitted,XMITD
Transmitter,XMITR
Transmitting,XMITG
Transparent,TRNSPAR
Transport,TRNSPRT
Travel,TRVL
Treasure,TREAS
Treasury,TREAS
Treat,TRT
Treatment,TRTMT
Tree,TREE
Trench,TRNCH
Trend,TREND
Trial,TRIAL
Trigger,TRIG
Trim,TRIM
Trouble,TRBL
Trouble Ticket,TRBL_TCKT
True,TRUE
Truly Net New,TNNEW
Truncate,TRUNC
Trunk,TRUNK
Trunking,TRUNKG
Trust,TRUST
Tube,TUBE
Tuesday,TUES
Tuple,TUPLE
Turn,TURN
Turnaround,TRNARND
Turnover,TRNOVR
Tutorial,TUTORL
Type,TYP
Typewriter,TYPWRTR
Typist,TYPIST
Ultimate,ULTMT
Unanswered,UNANS
Unapproved,UNAPPRV
Unassigned,UNASGN
Unavailable,UNAVAIL
Unbilled,UNBILLD
Uncataloged,UNCATLG
Uncatalogue,UNCATLG
Uncollectable,UNCOLL
Uncollectible,UNCOLL
Undefined,UNDEFD
Under,UNDR
Underline,UNDRLN
Underloaded,UNDRLOADD
Underscore,UNDRSCOR
Unemployable,UNEMPLBL
Unemployed,UNEMPLD
Unemployment,UNEMPLMT
Uniform,UNIF
Union,UNION
Unique,UNIQ
Unit,UNIT
Unit of Measure,UOM
United,UNITED
United States,US
United States of America,USA
Units,UNIT
Universal,UNIV
Universal Subscriber Identity Module,USIM
Universally Unique Identifier,UUID
Universe,UNIV
University,UNIV
Unload,UNLOAD
Unloaded,UNLOADD
Unlock,UNLOCK
Unpack,UNPACK
Unpaid,UNPD
Unpublished,UNPUB
unrated,unrtd
Unusable,UNUSBL
Unused,UNUSED
Unweighted,UWGHTD
Up,UP
Update,UPDT
Updated,UPDT
Updating,UPDT
Upgrade,UPGRD
Upkeep,UPKEEP
Upload,UPLOAD
Upper,UPR
Urban,URBN
Urgency,URGNCY
Urgent,URGNT
US Dollar,USD
Usable,USBL
Usage,USG
Use,USE
Used,USED
User,USER
User Id,USERID
Userid,USERID
Utility,UTIL
Utilization,UTILZ
Utilize,UTILZ
Vacancy,VAC
Vacant,VAC
Vacation,VACN
Vaccuum,VACU
Valid,VALID
Validate,VALID
Validation,VALID
Value,VAL
Vancouver,VANC
Vandalism,VANDAL
Vantage,VANTG
Variable,VAR
Variables,VAR
Variance,VAR
Variate,VAR
Variation,VAR
Various,VAR
Vary,VAR
Vector,VECT
Vehicle,VEH
Vending,VNDG
Vendor,VNDR
Verb,VRB
Verbal,VRBL
Verification,VRFCN
Verified,VRFD
Verifier,VRFR
Verify,VRFY
Verifying,VRFG
Version,VRSN
Versus,VS
Vertical,VERT
Vessel,VESL
Vice,VICE
VID,VID
Video,VID
Video on Demand,VOD
View,VW
Vintage,VINTG
Violate,VIOLAT
Violation,VIOLATN
Virtual,VIRTL
Virtual Local Area Network,VLAN
Visit,VISIT
Visitor,VISITR
Visual,VISUAL
Vital,VITAL
Voice,VC
Voicecom,VOCCOM
Volatile,VOLAT
Volatility,VOLAT
Volt,VOLT
Volume,VOL
Voluntary,VOLUN
Volunteer,VOLUN
Vote,VOTE
Voucher,VCHR
Vulnerable,VUL
Wage,WAGE
Wait,WAIT
Waiting,WAITG
Waive,WAIV
Waived,WAIVD
Waiver,WAIVR
Wake,WAKE
Walk,WALK
Wall,WALL
WAN,WAN
Want,WANT
Warehouse,WH
Warn,WARN
Warning,WARN
Warrant,WRNT
Warranty,WRNTY
Way,WAY
Weak,WEAK
Wednesday,WED
Week,WK
Week To Date,WTD
Weekday,WKDY
Weekend,WKEND
Weekly,WKLY
Weigh,WGH
Weight,WGHT
Weighted,WGHTD
West,W
westjet,wj
Whole,WHOL
Wholesale,WHOLSALE
Wide,WD
Wide Area Network,WAN
Width,WDTH
Win,WIN
Winback,WINBK
Window,WNDW
Wire,WIRE
Wire Center,WC
Wire Centre,WC
Wireless,WLS
Wireline,WLN
Wiring,WIRING
With,WITH
Withdraw,WTHDRW
Withheld,WTHLD
Withhold,WTHLD
Within,WTHIN
Without,WTHOUT
Word,WRD
Wording,WORDG
Work,WRK
Work Day,WRKDY
Work Order,WO
Workday,WRKDY
Worked,WRKD
Workgroup,WKGRP
Working,WRKG
Working Telephone Number,WTN
Worksheet,WRKSHT
Workspace,ws
Workstation,WRKSTN
World Wide Web,WWW
Worth,WRTH
wrkspc,ws
Wrap,WRAP
Write,WRT
Writer,WRTR
Written,WRTN
Wrongly,WRONG
WWW,WWW
Yard,YD
Year,YR
Year to date,YTD
Yearly,YRLY
Zenith,ZEN
Zone,ZN
