Full Name,Name,Asset Id,Asset Type,[Business Term] has acronym [Acronym] > Name,[Business Term] has acronym [Acronym] > Full Name,[Business Term] has acronym [Acronym] > Asset Type,[Business Term] has acronym [Acronym] > Community,[Business Term] has acronym [Acronym] > Domain Type,[Business Term] has acronym [Acronym] > Domain,[Business Term] has acronym [Acronym] > Domain Id,[Business Term] has acronym [Acronym] > Asset Id,Definition,Status,Domain,Community,Domain Type,Domain Id
Net Present Value,NPV,0624ed45-8fc0-4c49-af66-97a497370f73,Business Term,,,,,,,,,"Net Present Value is a financial metric used in the context of General. It is a measure used to assess the profitability or value of an investment by comparing the present value of cash inflows with the present value of cash outflows. It takes into account the time value of money, considering that a dollar received in the future is worth less than a dollar received today. By discounting future cash flows to their present value, Net Present Value helps determine the net value or profitability of an investment after accounting for the cost of capital.",,,,,
Network-based Personal Video Recorder,NPVR,014c7876-ae2e-4cc0-b911-2ece85c82577,Business Term,,,,,,,,,"Network-based Personal Video Recorder refers to a telecommunications system that enables users to record and store television programs and other video content on a network infrastructure. It allows users to remotely schedule the recording of their favorite shows using a user interface provided by their service provider. The recorded content is stored on servers in the network, which can be accessed from any device connected to the network for later playback.",,,,,
New Radio,NR,e76aea96-d530-48f8-94cb-854570d19b0f,Business Term,,,,,,,,,New Radio refers to a wireless communication technology used in telecommunications.,,,,,
Non Recurring Charges,NRC,0658052e-4305-42f7-9617-79804ababff0,Business Term,,,,,,,,,A nonrecurring charge is one-time expense that is unlikely to happen again.,,,,,
Non Recurring Engineering,NRE,01934645-61e3-798d-8172-7bacca742dd4,Business Term,,,,,,,,,"Non-recurring engineering refers to one-time cost to research, design, develop and test a new product or product enhancement.",,,,,
Network Repository Function,NRF,81e5614b-1d9c-4bcd-bf6b-58a2e8e2333a,Business Term,,,,,,,,,"Network Repository Function refers to a feature or capability within the field of telecommunications that stores and manages data related to network configuration, performance, and other relevant information.",,,,,
Non-Real Time,NRT,ff9d931b-bcee-45b8-ad85-913df643bff4,Business Term,,,,,,,,,"Non-Real Time in the context of General refers to a mode of operation that does not require immediate or instantaneous response or action, but rather allows for a delay or buffering of information.",,,,,
Network Slice,NS,b6bc7184-78e0-4bd7-9c19-acbcc00d48f4,Business Term,,,,,,,,,"Network Slice refers to a virtual network that is created from a portion of the overall telecommunications network infrastructure. It is designed to provide dedicated and isolated resources, such as bandwidth, computing power, and storage, to meet the specific requirements of a particular application or service. It enables the customization and optimization of network resources to cater to different types of traffic and services, allowing for efficient and reliable communication.",,,,,
Non-Standalone,NSA,b565de4a-8645-4c55-a809-9a362bdac6e2,Business Term,,,,,,,,,"Non-Standalone, in the context of General, refers to a type of system or technology that is not capable of operating independently and requires additional components or support to function properly.",,,,,
Network Service Intelligence,NSI,0e6196d3-9e70-4731-9f92-ceb3f5be3727,Business Term,,,,,,,,,"TELUS team that enables the DevOps team with intelligence and service reliability that drives decisions, outcomes and a positive customer experience. Team portal.",,,,,
Network Service Operations,NSO,8293b23a-af62-4f28-94aa-e816d71ff3e0,Business Term,,,,,,,,,"Network Service Operations refers to the management and maintenance of telecommunications networks, ensuring their efficient functioning and delivery of services to end-users. It involves activities such as monitoring network performance, troubleshooting network issues, and implementing necessary changes or upgrades to optimize network performance.",,,,,
New Service Readiness,NSR,d94da571-4f44-4e53-b8cf-55c3828e8ece,Business Term,,,,,,,,,New Service Readiness is a part of a general Service Readiness Management practices to ensures that service provider is fully prepared to launch new technologies and services.,,,,,
Non-Simultaneous Substitution,NSS,018f3002-8f4a-745f-b946-47b21f338543,Business Term,,,,,,,,,"Non-Simultaneous Substitution refers to a practice in the broadcasting industry where a broadcaster replaces a program or advertisement in a broadcast with a different program or advertisement at a later time. This practice is often used to provide viewers with content that is more relevant or appealing to the local audience or to maximize advertising revenue. In the context of media and entertainment, non-simultaneous substitution can occur when a broadcaster decides to air a different program in place of the original one during a repeat broadcast or in a time-shifted viewing scenario. This practice allows broadcasters to tailor content to specific audiences or to optimize their advertising strategies based on viewer demographics or preferences. Non-simultaneous substitution can also be used to address scheduling conflicts, regional preferences, or other factors that may impact the viewership experience. It is a common strategy employed by broadcasters to enhance viewer engagement and to better meet the needs of their audience. Non-Simultaneous Substitution is also known as Simulcast or Simsub or Simultaneous Substitution is a CRTC policy that allows Canadian broadcasters to broadcast US feeds – at the same time as the US feed – while stripping out the US ads so that they can sell the ad time to Canadian advertisers. It allows Canadian broadcasters to tape the feed, strip out the US ads, sell the ad time to Canadian advertisers and broadcast the US feed at the time of their choosing.",,,,,
Network Slice Selection Assistance Information,NSSAI,f35ebb1d-0276-4650-b773-846789c0e4a6,Business Term,,,,,,,,,Network Slice Selection Assistance Information refers to data that assists in the selection of network slices in the field of telecommunications. It provides relevant information and criteria necessary for choosing the most suitable network slice for a particular purpose or requirement.,,,,,
Network Slice Selection Function,NSSF,683d25d2-12f8-406c-844b-6ab4a894e5b0,Business Term,,,,,,,,,Network Slice Selection Function is a component in telecommunications that is responsible for selecting the appropriate network slice for a specific service or application based on predefined criteria.,,,,,
Narrowband Secondary Synchronization Signal,NSSS,d2b5ec1a-86c9-4392-bbcf-ecba75961656,Business Term,,,,,,,,,"Narrowband Secondary Synchronization Signal (NB-SSS) is a type of signal used in telecommunications. It is specifically designed for synchronization purposes in narrowband communication systems. The NB-SSS helps ensure accurate timing synchronization between the base station and mobile devices, allowing for efficient and reliable data transmission.",,,,,
Next Twelve Month,NTM,46e8cc94-fe4f-487e-bd41-57a5f41ca0ed,Business Term,,,,,,,,,"Next Twelve Month in finance and accounting refers to the upcoming period of twelve consecutive months, which is used as a timeframe for financial projections, budgeting, and forecasting. It is a standard period used by organizations to plan their financial activities and make predictions about future performance.",,,,,
Operation and Maintenance,O&M,cad6202e-5a46-45c5-bd27-384a6f71a8a4,Business Term,,,,,,,,,"Operation and Maintenance refers to the ongoing activities and tasks carried out to ensure the proper functioning, performance, and upkeep of a general system or entity. It involves the regular monitoring, inspection, troubleshooting, and repair of equipment, processes, and facilities to maintain their optimal operational condition. This includes tasks such as preventive maintenance, corrective maintenance, equipment calibration, system upgrades, and ensuring compliance with safety regulations. The primary aim of Operation and Maintenance is to sustain the functionality and longevity of the overall system or entity.",,,,,
"Operations, Administration & Maintenance",OA&M,14ac6a74-cc3d-4254-80b9-a8ba3f5d199c,Business Term,,,,,,,,,"Operations, Administration &amp; Maintenance refers to the processes and activities involved in managing and maintaining the general operations of a system or organization. It encompasses tasks related to planning, coordinating, and controlling various operational aspects, as well as handling administrative duties and ensuring the proper functioning and maintenance of equipment, facilities, and resources.",,,,,
Orbital Angular Momentum,OAM,23b68b16-b84d-44f7-a178-cb2b39f169c1,Business Term,,,,,,,,,Orbital Angular Momentum in the context of General refers to the rotational motion of an object around a fixed point or axis.,,,,,
Open Authorization,OAuth,106d0dd6-853a-41f1-830b-a1689a0aa443,Business Term,,,,,,,,,"Open Authorization, also known as OAuth, is a secure authorization framework that allows individuals or applications to access resources from one platform to another without sharing their login credentials. It provides a standardized way for users to grant limited access to their protected resources to third-party applications, without compromising their security or privacy.",,,,,
Outbound,OB,d2b8ba96-08e0-41d6-af39-28ccf1a07052,Business Term,,,,,,,,,Outbound Sales,,,,,
Order Based Drop,OBD,777f7d44-def2-40b4-9288-0b9fc21902d7,Business Term,,,,,,,,,"For locations without Fibre, but it can provided upon order.",,,,,
Outbound Direct Fulfillment,OBDF,3b255517-34bc-4e15-824c-4dde4bf9d704,Business Term,,,,,,,,,"Outbound Direct Fulfillment refers to the process of delivering goods or services directly to customers from a company's distribution center or warehouse. It involves the prompt and efficient handling of orders received from customers, ensuring that the requested products or services are delivered to the appropriate destination in a timely manner.",,,,,
Order Based Inside Wiring,OBISW,36444d67-dcdc-4f49-b3d2-556fa179e74d,Business Term,,,,,,,,,Order Based Drop process for multi-dwelling unit buildings.,,,,,
Outcome Based Pricing Model,OBPM,01976520-385f-7811-a7a2-a6d215a8a9be,Business Term,,,,,,,,,"An outcome-based pricing model is a strategic pricing approach where the cost of a product or service is directly tied to the actual results or value delivered to the customer, rather than charging a flat fee or based on resources used.",,,,,
Organization for Economic Co-operation and Development,OECD,d92cd991-3e71-48ee-b9ab-776d7b823ae9,Business Term,,,,,,,,,"Organization for Economic Co-operation and Development (OECD) is an international organization comprised of member countries that promotes policies to improve the economic and social well-being of people around the world. The OECD provides a platform for governments to collaborate, exchange information, and coordinate efforts in areas such as economic growth, trade, employment, education, and environmental protection. Its main objective is to support sustainable economic development and enhance global prosperity through evidence-based analysis, policy recommendations, and peer reviews.",,,,,
Original Equipment Manufacturer,OEM,5e54124b-563b-4a76-892b-08737248c351,Business Term,,,,,,,,,"Original Equipment Manufacturer (OEM) in the context of Telecommunications refers to a company that designs, manufactures, and sells equipment and devices that are used by telecommunications service providers.",,,,,
Orthogonal Frequency-Division Multiplexing,OFDM,2d4024b7-b49a-4170-b5c7-025d1913c80a,Business Term,,,,,,,,,"Orthogonal Frequency-Division Multiplexing in the context of Telecommunications is a digital modulation scheme that is used for transmitting large amounts of data over wireless networks. It involves dividing the available frequency spectrum into multiple orthogonal subcarriers, which allows for simultaneous transmission of multiple data streams. This technique efficiently utilizes the available bandwidth and enables high-speed data transmission without interference between the subcarriers.",,,,,
Other Follow-up Time,OFT,587fa3a2-aa9f-4b71-b9c3-055295c181fe,Business Term,,,,,,,,,"Call center agent in this state prevents calls from arriving on workstation. Can be broken down to: Inbound Directed Dial (DN_In) Outbound Directed Dial (DN_Out) Productive Not Ready States Productive Not Ready States Call Time, service level forecasting",,,,,
Official Language Minority Communities,OLMC,018f3002-fff5-704e-b15c-983131ee8d74,Business Term,,,,,,,,,"Official Language Minority Communities refers to communities within Canada whose primary language is not English or French, which are the two official languages of the country. These communities have the right to access media and broadcasting services in their own language to preserve and promote their cultural identity and heritage. The concept aims to ensure that linguistic minorities have equal opportunities to access information and programming in their language, as well as to participate in the media landscape of the country. This term is particularly relevant in the context of Canadian media and broadcasting policies, where efforts are made to support and promote linguistic diversity and inclusion.",,,,,
Optical Line Terminal,OLT,b6710502-32ab-422d-a534-b738d0f75e1c,Business Term,,,,,,,,,An optical line terminal is the endpoint hardware device in a passive optical network.,,,,,
Order Management,OM,2135cbe6-b913-4d00-b5c9-0cdd68589c04,Business Term,,,,,,,,,Order management includes the business processes and activities that begin after a customer places an order.,,,,,
Open Networking Foundation,ONF,eeabf1a6-3982-4917-88f0-e66c7eb44042,Business Term,,,,,,,,,Open Networking Foundation is an organization that focuses on advancing open networking technologies and promoting open standards in the telecommunications industry.,,,,,
The Old Network Service Provider,ONSP,bb318c37-8b68-4867-865d-b106498cd1a3,Business Term,,,,,,,,,The Old Network Service Provider is the name of the old provider in the context of a Service ported between Service Providers.,,,,,
Optical Network Termination,ONT,a61714a8-c98f-4663-9df9-bb15e9a76728,Business Term,,,,,,,,,"Optical Network Termination is a device used in telecommunications that serves as the demarcation point between the service provider's network and the customer's premises. It facilitates the conversion of optical signals to electrical signals, allowing for the transmission of voice, data, and video services over fiber-optic cables.",,,,,
Out of Warranty,OOW,019ecc05-5e70-70bc-84a1-ac06726962f2,Business Term,,,,,,,,,A status indicating that a product or device is no longer covered under its manufacturer's warranty.,,,,,
Operating Expenditure,OPEX,52e431c4-6853-4dd2-8b04-54e6de49d3d9,Business Term,,,,,,,,,"Operating Expenditure in the context of telecommunications refers to the costs incurred by a telecommunications company in order to maintain and operate its network infrastructure and provide services to its customers. These expenditures include expenses such as network maintenance, equipment, technical support, employee salaries, and other operational costs.",,,,,
Opportunity Product Item,OPI,20f9bedd-ca19-43b5-ba7c-94b56b2a6926,Business Term,,,,,,,,,Opportunity Product Item refers to a specific item or product that is associated with an opportunity within the context of marketing and sales. It represents a tangible or intangible offering that can be included as part of a potential sale or business opportunity.,,,,,
Open Radio Access Network,ORAN,018f2ab2-9a87-7d22-b3c3-584045529c5d,Business Term,,,,,,,,,"The Open Radio Access Network (Open RAN) is a concept in the telecommunications industry that aims to disaggregate the traditional RAN (Radio Access Network) components by using open and interoperable interfaces and standards. This approach allows operators to mix and match hardware and software components from different vendors, promoting vendor diversity and innovation. Open RAN architecture typically includes the following key components: Radio Unit (RU) : The hardware that connects to the antennas and converts digital signals to radio waves. Distributed Unit (DU) : Responsible for baseband processing and control functions. Centralized Unit (CU) : Handles higher-layer processing and network management functions. Open Interfaces : Standardized interfaces that allow interoperability between different vendors' components. By adopting Open RAN, operators can potentially reduce costs, increase flexibility, and accelerate innovation in the deployment of mobile networks. It also promotes competition and avoids vendor lock-in, leading to a more dynamic and diverse ecosystem in the telecommunications industry.",,,,,
Order Resolution Team,ORT,7c444a0b-5d11-42b7-ad7e-adb2ec8cbf8b,Business Term,,,,,,,,,Team name.,,,,,
Operating System,OS,73fed3ee-4c02-4790-80bb-7688045237e5,Business Term,,,,,,,,,"Operating System in the context of Telecommunications refers to the software that manages and controls the hardware and software resources of a telecommunications device or network. It provides functionalities such as process management, memory management, network protocol support, and device drivers, enabling various telecommunications operations to function smoothly.",,,,,
Operating Services Agreement,OSA,019ecc05-5e70-70bc-84a1-ac06726962f3,Business Term,,,,,,,,,A contract defining the terms under which operational services are delivered between two parties.,,,,,
Other System Information,OSI,fa400f36-e09e-4563-be04-c15804a3ec4d,Business Term,,,,,,,,,"Other System Information refers to additional details or data related to a computer or electronic device that are not part of the main or primary specifications or characteristics. It includes various technical aspects and settings, such as firmware version, device serial number, installed software applications, network configuration, and other relevant details about the system that are not typically highlighted in general descriptions.",,,,,
Operations Support Systems,OSS,d220d309-3041-4843-8e09-b4bea6e4a9fb,Business Term,,,,,,,,,"Telecommunicatios Operations support systems are a software component that enable a service provider to monitor, control, analyze, and manage the services on its network.",,,,,
Order to Cash,OTC,019ecc05-5e70-70bc-84a1-ac06726962f5,Business Term,,,,,,,,,The end-to-end business process from receiving a customer order through to payment collection.,,,,,
Out to Store,OTS,019ecc05-5e70-70bc-84a1-ac06726962f6,Business Term,,,,,,,,,A logistics status indicating that a product or item has been dispatched to a retail store location.,,,,,
Over-The-Top,OTT,55abda32-4c8d-478e-befc-4adef9095b12,Business Term,,,,,,,,,"Initially named in reference to devices that go “over” a cable box to give the user access to TV content. In Over-The-Top channels, content is delivered via an internet connection rather than through a traditional cable/broadcast provider.",,,,,
Profit and Loss,P&L,e04c40e1-1bd8-4dfc-83b9-795a884d0d6d,Business Term,,,,,,,,,"Profit and Loss, in the context of Finance and Accounting, refers to a financial statement that summarizes the revenues, expenses, and resulting net income or loss of a business during a specific period. It provides a comprehensive overview of the company's financial performance, indicating whether it has made a profit or incurred a loss within the stated timeframe. The Profit and Loss statement is a vital tool for analyzing and evaluating the financial health of a business, as well as assessing its profitability and efficiency.",,,,,
Product and Services,P&S,b480988c-bf9e-4c42-b7b9-01eb69a34231,Business Term,,,,,,,,,Product and services refer to the physical or non-physical offerings provided by a company or individual.,,,,,
PDN Gateway,P-GW,a93800d8-2695-447d-bcec-7c5aa06201f2,Business Term,,,,,,,,,PDN Gateway is a key component in telecommunications that serves as an interface between a mobile network's core network and external packet data networks.,,,,,
Paging RNTI,P-RNTI,c26f883f-ae2e-488e-bf7a-60dabeaae4ec,Business Term,,,,,,,,,"Paging RNTI refers to the Radio Network Temporary Identifier that is used in telecommunications. It is a unique identifier assigned to a mobile device within a cellular network for the purpose of paging, which is the process of searching for and notifying a specific mobile device of an incoming call or message.",,,,,
Person-to-Person,P2P,20b2d0b9-a485-4e58-8800-94658cc145d9,Business Term,,,,,,,,,"Person-to-Person in the context of Telecommunications refers to a communication method that enables direct interaction between two individuals, typically through voice or text messages, without the involvement of any automated systems or intermediaries.",,,,,
Power Amplifier,PA,334b9bcc-8b25-4402-a999-abc25cb1f7a6,Business Term,,,,,,,,,"Power Amplifier is a device that increases the amplitude of an electrical signal, typically used to boost the power of audio or radio frequency signals.",,,,,
Platform as a Service,PaaS,6ea1030e-3b86-473d-befb-4cee90399d9b,Business Term,,,,,,,,,"Platform as a Service refers to a cloud computing model where a third-party provider offers a platform that allows users to develop, run, and manage applications without the complexity of building and maintaining the underlying infrastructure.",,,,,
Pay And Call,PAC,7f58b5f2-426c-447d-8a87-36f95de6b2c9,Business Term,,,,,,,,,"Pay And Call in the context of Enterprise refers to a payment method where a specific amount needs to be paid upfront before accessing or utilizing certain services or resources. The payment is typically made on a per-use or per-call basis, allowing users to pay for only what they need or use.",,,,,
Packet Associated Control Channel,PACCH,be692e10-7da6-4bb5-b07a-01056ddd807c,Business Term,,,,,,,,,"Packet Associated Control Channel refers to a communication channel in telecommunications that is specifically used for the transmission of control information related to the packets being transmitted. It is designed to handle the control functions required for proper packet delivery and management within a network. The Packet Associated Control Channel enables efficient and reliable packet communication by facilitating the control signaling necessary for error detection, flow control, congestion control, and other packet-level management operations.",,,,,
Post Acquisition Integration,PAI,c6ae3c2d-c061-4aee-8ca4-f94cdecc16da,Business Term,,,,,,,,,"Is a mergers &amp; aquisitions process of unifying two entities and their assets, people, tasks, and resources in a manner that creates the most value for the future of the enterprise by realizing efficiencies and synergies.",,,,,
Pre-authorized Payment,PAP,ebe7873c-bca1-4bf6-b050-84fd1edf31f5,Business Term,,,,,,,,,,,,,,
Peak to Average Power Ratio,PAPR,41cd135a-f640-437a-a9de-7b8358f0d59e,Business Term,,,,,,,,,Peak to Average Power Ratio (PAPR) refers to the ratio between the peak power of a signal and its average power. It is a measurement used to quantify the variation in power levels of a signal over time. PAPR is commonly used in the field of general communication systems to assess the efficiency and performance of a transmission.,,,,,
Provisioning Application Support,PAS,01929784-b8fb-77a5-8b8d-bb48b7eb7f96,Business Term,,,,,,,,,TELUS team that monitors and resolves any provisioning issues on TELUS mobility network.,,,,,
Plans Addons Web Services,PAWS,019889fe-a2b3-7839-9b7b-0a35a97d859d,Business Term,,,,,,,,,TELUS team responsible for Green platform on Netcracker.,,,,,
Physical Broadcast Channel,PBCH,599d561f-ff48-4635-9b8e-8a476e0fbe56,Business Term,,,,,,,,,"Physical Broadcast Channel in the context of Telecommunications refers to a communication channel used for broadcasting information over a wireless network. It is a dedicated channel that carries data, voice, or video signals to multiple users simultaneously.",,,,,
Privacy by Design,PbD,19c54c0d-6a41-4dad-8cab-8c8f25ddbc91,Business Term,,,,,,,,,"Privacy by Design refers to a concept in the realm of privacy and security that involves incorporating privacy protections into the design and architecture of systems, processes, and products from the very beginning. It emphasizes the proactive integration of privacy considerations rather than addressing them as an afterthought or add-on. This approach aims to ensure that privacy is embedded throughout the entire lifecycle of a system, enabling the protection of individuals' personal information by default. It involves implementing privacy measures as an integral component of the design, thereby minimizing privacy risks and enhancing the overall privacy and security of the system.",,,,,
Penetration Based Rate Cards,PBRC,018f2fbb-5091-74b9-8e09-c082d25c8e34,Business Term,,,,,,,,,"Penetration Based Rate Cards relates specifically to the relationship between BDUs and broadcasters. It means that if a service’s subscriber numbers go up (the penetration), then the rate that they charge the BDU for the service goes down. If in a Pick and Pay model the subscribers go down, independent broadcasters want protections that they can increase their rates to maintain revenue.",,,,,
Private Branch Exchange,PBX,019ef085-da8b-71dd-ae65-382d9d248c90,Business Term,,,,,,,,,Private Branch Exchange is a telephone switching system used within a business or organization to manage internal and external phone calls.,,,,,
Privacy by Design,PBYD,19c54c0d-6a41-4dad-8cab-8c8f25ddbc91,Business Term,,,,,,,,,"Privacy by Design refers to a concept in the realm of privacy and security that involves incorporating privacy protections into the design and architecture of systems, processes, and products from the very beginning. It emphasizes the proactive integration of privacy considerations rather than addressing them as an afterthought or add-on. This approach aims to ensure that privacy is embedded throughout the entire lifecycle of a system, enabling the protection of individuals' personal information by default. It involves implementing privacy measures as an integral component of the design, thereby minimizing privacy risks and enhancing the overall privacy and security of the system.",,,,,
Personal Computer,PC,c215a8da-9416-43e0-8bc2-985cf0ed8c75,Business Term,,,,,,,,,"Personal Computer, in the context of General, refers to a type of computer designed for individual use by a single person. It is a compact and self-contained device that encompasses all the necessary components, such as a central processing unit (CPU), memory, storage, and input/output devices, required for personal computing tasks. It allows users to perform various functions like accessing the internet, running software applications, and storing personal data.",,,,,
Packet Control Acknowledgement,PCA,590a3acb-3c99-451e-887a-8fe65af94d55,Business Term,,,,,,,,,Packet Control Acknowledgement refers to a mechanism in telecommunications that confirms the receipt of transmitted data packets. It ensures the successful delivery of packets by requiring the recipient to acknowledge the receipt of each packet. This acknowledgment helps in maintaining data integrity and enables error detection and retransmission if necessary.,,,,,
Policy and Charging Control,PCC,cc217991-ffe6-4857-8e18-fb1d782175e0,Business Term,,,,,,,,,Policy and Charging Control in the context of General refers to the framework and mechanisms used to manage and control policies and charging for network services.,,,,,
Paging Control Channel,PCCH,a51cb3e1-8461-4df1-a331-ba2299401ca3,Business Term,,,,,,,,,Paging Control Channel is a telecommunications term that refers to the channel used to deliver paging messages within a cellular network.,,,,,
Primary Cell,PCell,3fcb6b91-8edf-4b92-af00-73a4aed6f148,Business Term,,,,,,,,,Primary Cell in the context of Telecommunications refers to a fundamental mobile network cell that serves as the main connection point for mobile devices. It is the primary unit responsible for providing wireless coverage and facilitating communication between mobile devices and the network infrastructure.,,,,,
Policy Control Function,PCF,b5486ccd-0174-443f-8c47-8c812eab0e00,Business Term,,,,,,,,,"Policy Control Function refers to a telecommunication feature that manages and controls various policies and rules within a network. It is responsible for enforcing quality of service (QoS) policies, shaping traffic, and prioritizing different types of data based on predefined rules. The Policy Control Function ensures efficient network resource utilization and fair distribution, thereby optimizing the overall network performance and user experience.",,,,,
Paging Channel,PCH,70a3d95e-122b-44b3-a66b-6650961c40e1,Business Term,,,,,,,,,Paging Channel refers to a specific communication channel used in telecommunications. It is designed to transmit paging messages or signals to multiple devices or subscribers simultaneously.,,,,,
Physical Cell Identity,PCI,2f5b3cb0-8477-4e03-a472-2bfedc4a4314,Business Term,,,,,,,,,Physical Cell Identity is a unique identifier used in telecommunications to distinguish and differentiate individual cells within a cellular network. It serves the purpose of providing a specific reference to a particular cell and is essential for maintaining accurate and efficient communication between mobile devices and network infrastructure.,,,,,
Protocol Configuration Options,PCO,6d71b804-88e2-40f1-9e72-aeb0c4580875,Business Term,,,,,,,,,Protocol Configuration Options refer to the specific settings or parameters that can be adjusted within a telecommunications protocol. These options allow for the customization and optimization of the protocol's behavior and performance according to specific requirements and network configurations.,,,,,
Primary Care Physician,PCP,02c63628-2ce4-4f22-92a1-e3978893de57,Business Term,,,,,,,,,"Primary Care Physician refers to a healthcare professional who serves as the main point of contact for individuals seeking medical care. They are typically the first point of contact for patients and provide a wide range of general medical services, including preventive care, diagnosing and treating common illnesses, managing chronic conditions, and coordinating the patient's overall healthcare. They often serve as the gatekeepers for specialized medical services and may refer patients to specialists when necessary. The role of a Primary Care Physician is crucial in promoting and maintaining the overall health and well-being of patients.",,,,,
Personal Communications Network,PCS,80098885-528b-41f1-877a-3ae08e6d82d0,Business Term,,,,,,,,,"Personal Communications Network refers to a telecommunications system that enables individuals to have personal and direct communication over wireless networks. It allows users to access voice and data services using mobile devices, such as smartphones and tablets, without the need for physical connections. This network facilitates seamless and convenient communication between individuals, providing them with the ability to make calls, send messages, and access the internet from virtually anywhere within the network coverage area.",,,,,
Powered Device,PD,01934a92-3550-7460-8719-01ba68447d58,Business Term,,,,,,,,,Powered Device in the context of telecommunications refers to a device that requires an external power source to operate and perform its intended functions.,,,,,
Personal Digital Assistant,PDA,6acbcb90-1181-4428-9b4b-ecaf2aee2f64,Business Term,,,,,,,,,"Personal Digital Assistant refers to a device or software that assists individuals in managing personal tasks, schedules, and information. It typically includes features such as a calendar, contact list, note-taking capabilities, and internet connectivity.",,,,,
Packet Delay Budget,PDB,e54771e1-8246-4817-8a35-d83bce15bebf,Business Term,,,,,,,,,Packet Delay Budget refers to the maximum allowable delay for packets to reach their destination within a telecommunications network. It is a predetermined time limit that defines the acceptable delay for packets to be transmitted between network devices.,,,,,
Passive Data Collection,PDC,96a01477-0d9c-4aaa-a5f3-7b62bd96cbcf,Business Term,,,,,,,,,"Data that is generated through the use of mobile devices connected to the TELUS network. By way of background, all mobile devices generate data when they ‘ping’ a nearby cell tower. The pings are critical to the functioning of a mobile cellular network and of the mobility devices themselves. As individuals move about, their mobile phones are continuously pinging off towers when they interact in any way with the network, for example by texting, calling, tweeting or using apps. The frequency of pings depends on the device usage.",,,,,
Physical Downlink Control Channel,PDCCH,02652312-c389-4d41-9038-61a220292d99,Business Term,,,,,,,,,"Physical Downlink Control Channel (PDCCH) is a channel used in telecommunications to transmit control information from the base station to user devices. This channel is responsible for delivering system information, scheduling data transmissions, allocating radio resources, and managing the overall operation of the communication system. PDCCH plays a crucial role in ensuring efficient and reliable communication between the base station and the user devices by facilitating control signaling and coordination in the downlink direction.",,,,,
Packet Data Convergence Protocol,PDCP,a274ee9e-5d46-42aa-b173-5d56db0a13cf,Business Term,,,,,,,,,Packet Data Convergence Protocol (PDCP) is a telecommunications protocol that operates in the context of packet-based communication networks. It is primarily responsible for the convergence and encapsulation of user data from higher layers into packet-based format for transmission over the network.,,,,,
Packet Data Gateway,PDG,f0192346-186b-4252-9de3-6584cc3a33de,Business Term,,,,,,,,,Packet Data Gateway is a telecommunications term that refers to a network element responsible for routing and managing packets of data within a mobile network.,,,,,
Packet Data Network,PDN,a1af6684-458c-4cfe-bf85-eb38dd806efc,Business Term,,,,,,,,,Packet Data Network refers to a system within telecommunications that enables the transmission of data in the form of packets. It is a network infrastructure that allows for the efficient and reliable transfer of digital information between different devices and locations.,,,,,
Packet Data Protocol,PDP,58f2c867-bf85-4206-83c7-53f7020723f0,Business Term,,,,,,,,,"Packet Data Protocol (PDP) is a network layer protocol used in telecommunications to facilitate the transmission of data over cellular networks. It enables the transfer of digital information in the form of packets between mobile devices and the network infrastructure. PDP plays a crucial role in establishing and maintaining data connections, ensuring reliable data transmission, and providing the necessary support for various applications and services.",,,,,
Physical Downlink Shared Channel,PDSCH,e8801ca0-5f8f-42d4-9582-4441dfc7d8ec,Business Term,,,,,,,,,Physical Downlink Shared Channel (PDSCH) is a transmission channel in telecommunications. It is responsible for delivering downlink data from the base station to multiple user devices simultaneously.,,,,,
Packet Data Traffic Channel,PDTCH,275c7bc7-8693-49cc-b9a2-fd1370d0e5a5,Business Term,,,,,,,,,"Packet Data Traffic Channel is a telecommunications term that refers to a specific channel within a network that is dedicated to the transmission of packet-based data. It is primarily used to allow for the efficient transfer of data in mobile networks, enabling the transmission of information such as internet browsing, emails, and multimedia content. The Packet Data Traffic Channel ensures that data is properly managed and routed within the network, optimizing the delivery of information to the intended recipient.",,,,,
Protocol Data Unit,PDU,09667d9d-032b-4001-b419-8df51c58188f,Business Term,,,,,,,,,Protocol Data Unit (PDU) refers to the smallest unit of information transmitted over a telecommunications network. It contains both the data being transferred and the necessary control information required for its successful delivery.,,,,,
Permanent Equipment Identifier,PEI,526cfaf4-814c-4692-8d49-ba0c09332841,Business Term,,,,,,,,,Permanent Equipment Identifier is a unique code or number assigned to a piece of telecommunications equipment that serves as a permanent and distinct identifier within a network or system.,,,,,
PublicMobile Expert Messaging,PEM,019ff6af-9995-75cc-8415-87f44e66945c,Business Term,,,,,,,,,A customer support service providing Public Mobile customers with expert assistance through messaging channels.,,,,,
Power Efficient Operation,PEO,ffe16d35-e14d-42da-9c05-8cf80e303d4c,Business Term,,,,,,,,,Power Efficient Operation refers to the ability of an object or system to operate using minimal power or energy consumption. It involves utilizing resources and techniques to optimize energy usage and reduce waste without compromising performance or functionality.,,,,,
Programme exclusif des partenaires de TELUS,PEP,f496790b-9009-4938-9a7f-a67de0b04050,Business Term,,,,,,,,,,,,,,
Packet Error Rate,PER,edfe5407-813c-4c0b-8a52-0c6379ad6a58,Business Term,,,,,,,,,Packet Error Rate refers to the frequency at which errors occur during the transmission or reception of data packets in telecommunications.,,,,,
